source,ogc_fid,nom,type_revet,etat_chaus,longueur_m,lon,lat
voierie_tertiaire_non_bitumee,179,,,,212,43.136570,11.569963
voierie_tertiaire_non_bitumee,180,,,,213,43.136420,11.569760
voierie_tertiaire_non_bitumee,181,,,,212,43.136283,11.569569
voierie_tertiaire_non_bitumee,182,,,,208,43.136150,11.569346
voierie_tertiaire_non_bitumee,183,,,,157,43.136039,11.568740
voierie_tertiaire_non_bitumee,184,,,,157,43.135883,11.568509
voierie_tertiaire_non_bitumee,185,,,,148,43.135748,11.568330
voierie_tertiaire_non_bitumee,186,,,,149,43.135624,11.568122
voierie_tertiaire_non_bitumee,187,,,,234,43.135154,11.568087
voierie_tertiaire_non_bitumee,188,,,,209,43.137511,11.571248
voierie_tertiaire_non_bitumee,189,,,,667,43.137223,11.570335
voierie_tertiaire_non_bitumee,190,,,,213,43.137830,11.571742
voierie_tertiaire_non_bitumee,191,,,,63,43.138350,11.572490
voierie_tertiaire_non_bitumee,192,,,,59,43.138193,11.572637
voierie_tertiaire_non_bitumee,193,,,,140,43.137714,11.572231
voierie_tertiaire_non_bitumee,197,,,,370,43.136982,11.564954
voierie_tertiaire_non_bitumee,198,,,,471,43.136437,11.564603
voierie_tertiaire_non_bitumee,207,,,,96,43.137456,11.564857
voierie_tertiaire_non_bitumee,214,,,,117,43.137104,11.562597
voierie_tertiaire_non_bitumee,216,,,,339,43.137250,11.563901
voierie_tertiaire_non_bitumee,217,,,,95,43.137560,11.565406
voierie_tertiaire_non_bitumee,220,,,,148,43.137092,11.564633
voierie_tertiaire_non_bitumee,221,,,,83,43.135381,11.566314
voierie_tertiaire_non_bitumee,222,,,,74,43.135420,11.566069
voierie_tertiaire_non_bitumee,223,,,,144,43.134398,11.565795
voierie_tertiaire_non_bitumee,224,,,,214,43.134826,11.565620
voierie_tertiaire_non_bitumee,225,,,,204,43.134891,11.565341
voierie_tertiaire_non_bitumee,226,,,,194,43.134965,11.565061
voierie_tertiaire_non_bitumee,227,,,,185,43.135018,11.564801
voierie_tertiaire_non_bitumee,228,,,,176,43.135080,11.564533
voierie_tertiaire_non_bitumee,229,,,,131,43.134988,11.564218
voierie_tertiaire_non_bitumee,230,,,,37,43.135710,11.564422
voierie_tertiaire_non_bitumee,231,,,,156,43.135209,11.563980
voierie_tertiaire_non_bitumee,232,,,,146,43.135278,11.563696
voierie_tertiaire_non_bitumee,233,,,,136,43.135342,11.563418
voierie_tertiaire_non_bitumee,234,,,,126,43.135417,11.563149
voierie_tertiaire_non_bitumee,235,,,,34,43.135902,11.563020
voierie_tertiaire_non_bitumee,236,,,,389,43.135103,11.564468
voierie_tertiaire_non_bitumee,237,,,,350,43.134689,11.564507
voierie_tertiaire_non_bitumee,238,,,,340,43.135493,11.564786
voierie_tertiaire_non_bitumee,287,,,,82,43.141864,11.578030
voierie_tertiaire_non_bitumee,291,,,,52,43.138827,11.576363
